Eruption Number,Volcano Name,Eruption Category,Evidence Type,Evidence Method,VEI,Start Year,Start Month,Start Day,End Year,End Month,End Day
22486,Cotopaxi,Confirmed,Observations,Reported,2,2022,10,21,2022,12,19
22481,Taal,Confirmed,Observations,Reported,1,2022,10,5,2022,10,29
22458,Turrialba,Confirmed,Observations,Reported,1,2022,7,17,2022,7,17
22453,Ulawun,Confirmed,Observations,Reported,2,2022,6,2,2022,6,2
22454,Raung,Confirmed,Observations,Satellite (infrared),2,2022,5,14,2022,9,27
22445,Gaua,Confirmed,Observations,Reported,1,2022,5,3,2022,5,3
22451,Purace,Confirmed,Observations,Reported,1,2022,3,29,2022,3,29
22430,Ambrym,Confirmed,Observations,Reported,1,2022,1,25,2022,2,2
22456,Chikurachki,Confirmed,Observations,Satellite (visual),2,2022,1,17,2022,10,17
22431,Wolf,Confirmed,Observations,Reported,2,2022,1,6,2022,4,14
22396,"Fournaise, Piton de la",Confirmed,Observations,Seismicity,0,2021,12,22,2022,1,17
22429,Hunga Tonga-Hunga Ha'apai,Confirmed,Observations,Reported,5,2021,12,20,2022,1,15
22420,Ambae,Confirmed,Observations,Reported,1,2021,12,5,2022,8,15
22423,Pinatubo,Confirmed,Observations,Reported,1,2021,11,30,2021,11,30
22421,Iliwerung,Confirmed,Observations,Reported,0,2021,11,28,2021,11,29
22475,Gaua,Confirmed,Observations,Reported,1,2021,11,16,2021,11,16
22452,Taal,Confirmed,Observations,Reported,2,2021,11,15,2022,4,1
22425,Turrialba,Confirmed,Observations,Reported,1,2021,11,3,2022,2,28
22424,Asosan,Confirmed,Observations,Reported,2,2021,10,14,2021,10,20
22419,Kavachi,Confirmed,Observations,Reported,0,2021,10,2,2022,12,19
22416,Kilauea,Confirmed,Observations,Reported,0,2021,9,29,2023,1,6
22417,La Palma,Confirmed,Observations,Reported,3,2021,9,19,2021,12,13
22407,Nishinoshima,Confirmed,Observations,Reported,2,2021,8,14,2021,8,15
22408,Fukutoku-Oka-no-Ba,Confirmed,Observations,Reported,4,2021,8,13,2021,9,12
22410,Chirinkotan,Confirmed,Observations,Reported,2,2021,8,8,2021,8,26
22411,Pavlof,Confirmed,Observations,Reported,2,2021,8,5,2022,12,7
22409,Pagan,Confirmed,Observations,Reported,2,2021,7,29,2021,9,6
22405,Sirung,Confirmed,Observations,Reported,1,2021,7,21,2021,7,21
22414,Ulawun,Confirmed,Observations,Reported,2,2021,7,9,2021,11,29
22413,Copahue,Confirmed,Observations,Reported,1,2021,7,2,2021,11,6
22406,Taal,Confirmed,Observations,Reported,1,2021,7,1,2021,7,9
22412,Rincon de la Vieja,Confirmed,Observations,Reported,2,2021,6,28,2022,12,19
22403,Turrialba,Confirmed,Observations,Reported,1,2021,6,13,2021,7,23
22426,Krakatau,Confirmed,Observations,Reported,2,2021,5,25,2022,12,19
22401,Great Sitkin,Confirmed,Observations,Reported,2,2021,5,25,2022,12,19
22397,Dieng Volcanic Complex,Confirmed,Observations,Reported,1,2021,4,29,2021,4,29
22402,Telica,Confirmed,Observations,Reported,1,2021,4,21,2022,3,29
22404,Tengger Caldera,Uncertain,Observations,Satellite (infrared),0,2021,4,15,2021,10,22
22395,"Fournaise, Piton de la",Confirmed,Observations,Seismicity,0,2021,4,9,2021,5,24
22435,Chikurachki,Confirmed,Observations,Satellite (visual),1,2021,3,21,2021,8,25
22399,Fagradalsfjall,Confirmed,Observations,Reported,0,2021,3,19,2021,9,18
22393,Veniaminof,Confirmed,Observations,Reported,1,2021,2,28,2021,4,5
22392,Semisopochnoi,Confirmed,Observations,Reported,2,2021,2,2,2022,11,7
22383,Raung,Confirmed,Observations,Reported,2,2021,1,21,2021,4,14
22381,Merapi,Confirmed,Observations,Reported,1,2020,12,31,2022,12,19
22394,San Cristobal,Confirmed,Observations,Reported,3,2020,12,27,2022,6,26
22385,Soufriere St. Vincent,Confirmed,Observations,Reported,4,2020,12,27,2021,4,22
22382,Tengger Caldera,Confirmed,Observations,Reported,1,2020,12,26,2020,12,28
22380,Kilauea,Confirmed,Observations,Reported,0,2020,12,20,2021,5,23
22371,"Fournaise, Piton de la",Confirmed,Observations,Seismicity,0,2020,12,7,2020,12,8
22373,Lewotolok,Confirmed,Observations,Reported,2,2020,11,27,2022,10,23
22374,Kikai,Confirmed,Observations,Reported,1,2020,10,6,2020,10,6
22364,Kavachi,Confirmed,Observations,Reported,0,2020,9,2,2021,4,10
22391,Kuchinoerabujima,Confirmed,Observations,Reported,1,2020,8,29,2020,8,29
22365,Sinabung,Confirmed,Observations,Reported,3,2020,8,8,2021,9,23
22368,Telica,Confirmed,Observations,Reported,1,2020,7,20,2020,12,9
22367,Raung,Confirmed,Observations,Reported,1,2020,7,16,2020,10,3
22369,Turrialba,Confirmed,Observations,Reported,1,2020,6,18,2020,8,24
22376,Copahue,Confirmed,Observations,Reported,2,2020,6,16,2020,11,2
22361,Cleveland,Confirmed,Observations,Reported,3,2020,6,1,2020,6,1
22359,Kikai,Confirmed,Observations,Reported,1,2020,4,29,2020,4,29
22360,Karymsky,Confirmed,Observations,Reported,3,2020,4,1,2022,8,7
22354,Soputan,Confirmed,Observations,Reported,2,2020,3,23,2020,4,2
22357,Kavachi,Confirmed,Observations,Reported,0,2020,3,16,2020,4,30
22384,Sarychev Peak,Confirmed,Observations,Reported,1,2020,2,29,2021,11,26
22355,San Miguel,Confirmed,Observations,Reported,1,2020,2,22,2020,2,22
22343,"Fournaise, Piton de la",Confirmed,Observations,Seismicity,0,2020,2,10,2020,4,6
22346,Rincon de la Vieja,Confirmed,Observations,Reported,2,2020,1,30,2020,12,13
22347,Fernandina,Confirmed,Observations,Reported,0,2020,1,12,2020,1,13
22344,Taal,Confirmed,Observations,Reported,4,2020,1,12,2020,1,22
22345,Kuchinoerabujima,Confirmed,Observations,Reported,3,2020,1,11,2020,5,13
22338,Whakaari/White Island,Confirmed,Observations,Reported,2,2019,12,9,2019,12,9
22341,Semisopochnoi,Confirmed,Observations,Reported,1,2019,12,7,2020,6,19
22340,Nishinoshima,Confirmed,Observations,Reported,1,2019,12,5,2020,8,27
22339,Kikai,Confirmed,Observations,Reported,2,2019,11,2,2019,11,2
22334,Lateiki,Confirmed,Observations,Reported,1,2019,10,13,2019,10,22
22326,Asamayama,Confirmed,Observations,Reported,2,2019,8,7,2019,8,25
22460,Unnamed,Confirmed,Observations,Satellite (visual),3,2019,8,6,2019,8,8
22336,Copahue,Confirmed,Observations,Reported,2,2019,8,2,2019,11,12
22325,Tangkuban Parahu,Confirmed,Observations,Reported,1,2019,7,26,2019,9,17
22330,Shishaldin,Confirmed,Observations,Reported,3,2019,7,23,2020,5,4
22328,Semisopochnoi,Confirmed,Observations,Reported,1,2019,7,16,2019,8,24
22319,Ulawun,Confirmed,Observations,Reported,4,2019,6,26,2019,10,5
